,RID
1328,555
1329,555
1330,557
1331,557
1332,557
1333,557
1334,557
1335,557
1336,558
1337,558
1338,558
1339,558
1340,559
1341,559
1342,559
1343,559
1344,563
1345,563
1346,563
1347,563
1348,565
1349,565
1350,565
1351,565
1352,566
1353,566
1354,566
1355,566
1356,566
1357,567
1358,567
1359,567
1360,567
1361,568
1362,568
1363,568
1364,568
1365,568
1366,572
1367,572
1368,572
1369,572
1370,572
1371,575
1372,575
1373,575
1374,575
1375,576
1376,576
1377,576
1378,577
1379,577
1380,577
1381,577
1382,578
1383,578
1384,578
1385,578
1386,579
1387,579
1388,579
1389,579
1390,579
1391,588
1392,588
1393,588
1394,588
1395,588
1396,590
1397,592
1398,598
1399,598
1400,598
1401,601
1402,601
1403,601
1404,601
1405,602
1406,602
1407,602
1408,602
1409,604
1410,604
1411,604
1412,604
1413,604
1414,605
1415,605
1416,605
1417,605
1418,606
1419,606
1420,606
1421,607
1422,607
1423,607
1424,607
1425,608
1426,608
1427,608
1428,608
1429,608
1430,610
1431,610
1432,610
1433,610
1434,611
1435,611
1436,611
1437,611
1438,613
1439,618
1440,618
1441,618
1442,618
1443,619
1444,619
1445,619
1446,619
1447,621
1448,621
1449,621
1450,621
1451,621
1452,622
1453,622
1454,622
1455,622
1456,625
1457,625
1458,625
1459,625
1460,625
1461,626
1462,626
1463,626
1464,626
1465,626
1466,627
1467,627
1468,627
1469,629
1470,629
1471,629
1472,631
1473,631
1474,631
1475,631
1476,631
1477,633
1478,633
1479,633
1480,633
1481,634
1482,634
1483,634
1484,634
1485,634
1486,637
1487,637
1488,637
1489,637
1490,638
1491,638
1492,638
1493,638
1494,640
1495,641
1496,642
1497,642
1498,642
1499,643
1500,643
1501,643
1502,643
1503,644
1504,644
1505,644
1506,644
1507,647
1508,647
1509,647
1510,647
1511,648
1512,648
1513,648
1514,648
1515,649
1516,649
1517,649
1518,649
1519,649
1520,653
1521,656
1522,656
1523,656
1524,656
1525,656
1526,657
1527,657
1528,657
1529,658
1530,658
1531,658
1532,658
1533,658
1534,667
1535,667
1536,667
1537,667
1538,667
1539,668
1540,668
1541,668
1542,668
1543,669
1544,669
1545,669
1546,669
1547,669
1548,671
1549,671
1550,671
1551,671
1552,671
1553,672
1554,672
1555,672
1556,672
1557,673
1558,673
1559,673
1560,673
1561,673
1562,675
1563,675
1564,675
1565,675
1566,677
1567,677
1568,677
1569,677
1570,679
1571,679
1572,679
1573,679
1574,679
1575,680
1576,680
1577,680
1578,680
1579,681
1580,681
1581,681
1582,682
1583,682
1584,682
1585,682
1586,684
1587,684
1588,684
1589,685
1590,685
1591,685
1592,685
1593,686
1594,686
1595,686
1596,686
1597,689
1598,689
1599,689
1600,689
1601,690
1602,690
1603,690
1604,690
1605,691
1606,691
1607,692
1608,692
1609,692
1610,692
1611,695
1612,695
1613,695
1614,695
1615,695
1616,696
1617,696
1618,697
1619,697
1620,698
1621,698
1622,698
1623,698
1624,698
1625,702
1626,702
1627,702
1628,702
1629,702
1630,708
1631,708
1632,708
1633,708
1634,708
1635,709
1636,709
1637,709
1638,709
1639,711
1640,711
1641,711
1642,712
1643,712
1644,712
1645,717
1646,717
1647,717
1648,717
1649,718
1650,718
1651,718
1652,718
1653,718
1654,720
1655,720
1656,720
1657,721
1658,721
1659,722
1660,722
1661,722
1662,722
1663,722
1664,723
1665,723
1666,723
1667,723
1668,723
1669,724
1670,724
1671,724
1672,724
1673,725
1674,725
1675,725
1676,725
1677,725
1678,726
1679,726
1680,726
1681,727
1682,727
1683,727
1684,727
1685,729
1686,729
1687,729
1688,729
1689,729
1690,730
1691,730
1692,730
1693,730
1694,731
1695,731
1696,731
1697,731
1698,733
1699,733
1700,733
1701,733
1702,734
1703,734
1704,734
1705,734
1706,739
1707,739
1708,739
1709,739
1710,740
1711,740
1712,741
1713,741
1714,741
1715,741
1716,743
1717,746
1718,746
1719,746
1720,746
1721,746
1722,747
1723,747
1724,748
1725,748
1726,748
1727,748
1728,748
1729,750
1730,750
1731,750
1732,750
1733,750
1734,751
1735,751
1736,751
1737,752
1738,752
1739,752
1740,752
1741,753
1742,753
1743,753
1744,753
1745,754
1746,754
1747,754
1748,754
1749,759
1750,759
1751,759
1752,759
1753,760
1754,760
1755,760
1756,760
1757,761
1758,767
1759,767
1760,767
1761,767
1762,768
1763,768
1764,768
1765,768
1766,769
1767,769
1768,769
1769,769
1770,770
1771,770
1772,770
1773,770
1774,771
1775,771
1776,771
1777,771
1778,771
1779,777
1780,778
1781,778
1782,778
1783,778
1784,779
1785,779
1786,779
1787,779
1788,782
1789,782
1790,782
1791,782
1792,782
1793,783
1794,783
1795,783
1796,783
1797,783
1798,784
1799,784
1800,784
1801,784
1802,786
1803,786
1804,786
1805,786
1806,790
1807,790
1808,790
1809,792
1810,792
1811,792
1812,792
1813,792
1814,793
1815,793
1816,793
1817,793
1818,796
1819,796
1820,796
1821,800
1822,800
1823,800
1824,800
1825,800
1826,802
1827,802
1828,802
1829,802
1830,803
1831,803
1832,803
1833,810
1834,810
1835,810
1836,812
1837,812
1838,813
1839,813
1840,813
1841,813
1842,814
1843,814
1844,814
1845,814
1846,816
1847,816
1848,818
1849,818
1850,818
1851,818
1852,821
1853,821
1854,824
1855,824
1856,824
1857,824
1858,825
1859,825
1860,825
1861,828
1862,829
1863,829
1864,829
1865,829
1866,830
1867,830
1868,830
1869,830
1870,830
1871,832
1872,832
1873,832
1874,832
1875,834
1876,834
1877,834
1878,834
1879,834
1880,835
1881,835
1882,835
1883,835
1884,835
1885,836
1886,836
1887,836
1888,839
1889,839
1890,839
1891,839
1892,839
1893,841
1894,841
1895,842
1896,842
1897,842
1898,842
1899,843
1900,843
1901,843
1902,843
1903,844
1904,845
1905,845
1906,845
1907,845
1908,850
1909,850
1910,850
1911,850
1912,851
1913,851
1914,852
1915,852
1916,852
1917,853
1918,853
1919,853
1920,855
1921,855
1922,855
1923,855
1924,856
1925,856
1926,856
1927,856
1928,860
1929,860
1930,860
1931,861
1932,861
1933,861
1934,861
1935,862
1936,862
1937,862
1938,863
1939,863
1940,863
1941,865
1942,865
1943,865
1944,865
1945,865
1946,866
1947,866
1948,866
1949,867
1950,867
1951,867
1952,867
1953,869
1954,869
1955,869
1956,869
1957,869
1958,872
1959,872
1960,872
1961,872
1962,872
1963,873
1964,873
1965,873
1966,873
1967,873
1968,874
1969,874
1970,874
1971,874
1972,874
1973,876
1974,878
1975,878
1976,878
1977,878
1978,878
1979,880
1980,880
1981,880
1982,883
1983,883
1984,883
1985,884
1986,886
1987,886
1988,886
1989,887
1990,887
1991,887
1992,887
1993,887
1994,889
1995,889
1996,890
1997,890
1998,891
1999,891
2000,891
2001,891
2002,892
2003,892
2004,892
2005,892
2006,896
2007,896
2008,896
2009,898
2010,898
2011,898
2012,898
2013,899
2014,899
2015,904
2016,904
2017,904
